2020-10-05 22:38:21 INFO  ConversationExporter:145 - Reading conversation from chat.txt
2020-10-05 22:38:21 INFO  ConversationExporter:83 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-05 22:38:21 INFO  ConversationExporter:78 - Exporting conversation with options: Word filter : pie

2020-10-05 22:38:21 INFO  ConversationExporter:145 - Reading conversation from chat.txt
2020-10-05 22:38:21 INFO  ConversationExporter:83 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-05 22:38:21 INFO  ConversationExporter:78 - Exporting conversation with options: Word filter : hello

2020-10-05 22:38:21 INFO  ConversationExporter:145 - Reading conversation from chat.txt
2020-10-05 22:38:21 INFO  ConversationExporter:83 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-05 22:38:21 INFO  ConversationExporter:78 - Exporting conversation with options: Word filter : society

2020-10-05 22:38:21 INFO  ConversationExporter:145 - Reading conversation from chat.txt
2020-10-05 22:38:21 INFO  ConversationExporter:83 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-05 22:38:21 INFO  ConversationExporter:78 - Exporting conversation with options: User filter : bob

2020-10-05 22:38:21 INFO  ConversationExporter:145 - Reading conversation from chat.txt
2020-10-05 22:38:21 INFO  ConversationExporter:83 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-05 22:38:21 INFO  ConversationExporter:78 - Exporting conversation with options: User filter : mike

2020-10-05 22:38:21 INFO  ConversationExporter:145 - Reading conversation from chat.txt
2020-10-05 22:38:21 INFO  ConversationExporter:83 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-05 22:38:21 INFO  ConversationExporter:78 - Exporting conversation with options: User filter : angus

2020-10-05 22:38:21 INFO  ConversationExporter:145 - Reading conversation from chat.txt
2020-10-05 22:38:21 INFO  ConversationExporter:83 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:26:25 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 00:26:25 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:26:25 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:26:25 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : pie

2020-10-06 00:26:25 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:26:25 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:26:25 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : hello

2020-10-06 00:26:25 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:26:25 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:26:25 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : society

2020-10-06 00:26:25 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:26:25 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:26:25 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : bob

2020-10-06 00:26:25 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:26:25 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:26:25 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : mike

2020-10-06 00:26:25 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:26:25 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:26:25 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : angus

2020-10-06 00:26:25 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:26:25 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:27:28 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 00:27:28 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:27:28 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:27:28 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : pie

2020-10-06 00:27:28 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:27:28 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:27:28 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : hello

2020-10-06 00:27:28 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:27:28 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:27:28 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : society

2020-10-06 00:27:28 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:27:28 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:27:28 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : bob

2020-10-06 00:27:28 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:27:28 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:27:28 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : mike

2020-10-06 00:27:28 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:27:28 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:27:28 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : angus

2020-10-06 00:27:28 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:27:28 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:29:33 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 00:29:33 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:29:33 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:29:33 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : pie

2020-10-06 00:29:33 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:29:33 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:29:33 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : hello

2020-10-06 00:29:33 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:29:33 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:29:33 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : society

2020-10-06 00:29:33 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:29:33 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:29:33 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : bob

2020-10-06 00:29:33 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:29:33 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:29:33 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : mike

2020-10-06 00:29:33 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:29:33 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:29:33 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : angus

2020-10-06 00:29:33 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:29:33 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:31:29 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 00:31:29 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:31:29 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:31:29 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : pie

2020-10-06 00:31:29 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:31:29 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:31:29 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : hello

2020-10-06 00:31:29 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:31:29 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:31:29 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : society

2020-10-06 00:31:29 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:31:29 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:31:29 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : bob

2020-10-06 00:31:29 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:31:29 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:31:29 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : mike

2020-10-06 00:31:29 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:31:29 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:31:29 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : angus

2020-10-06 00:31:29 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:31:29 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:04 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 00:45:04 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:04 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:04 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : pie

2020-10-06 00:45:04 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:04 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:04 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : hello

2020-10-06 00:45:04 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:04 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:04 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : society

2020-10-06 00:45:04 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:04 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:04 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : bob

2020-10-06 00:45:04 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:04 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:04 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : mike

2020-10-06 00:45:04 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:04 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:04 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : angus

2020-10-06 00:45:04 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:04 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:34 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 00:45:34 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:34 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:34 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : pie

2020-10-06 00:45:34 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:34 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:34 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : hello

2020-10-06 00:45:34 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:34 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:34 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : society

2020-10-06 00:45:34 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:34 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:34 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : bob

2020-10-06 00:45:34 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:34 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:34 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : mike

2020-10-06 00:45:34 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:34 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 00:45:34 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : angus

2020-10-06 00:45:34 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 00:45:34 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:04:46 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 01:04:46 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:04:46 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:04:46 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : pie

2020-10-06 01:04:46 INFO  ConversationExporter:148 - Reading conversation from chat.txt
